t_sim,q1,q2,q3,q4,q5,q6,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,tau1,tau2,tau3,tau4,tau5,tau6,tracking_error
0.7000,0.198257,-0.000093,0.478979,0.999996,0.001737,-0.002171,0.000000,-0.085000,0.420000,-0.370000,0.000000,0.000000,-0.013678,-0.005860,-0.004068,-9.999864,8.000106,2.544250,1.388124
0.7200,0.198104,-0.000197,0.479060,0.999996,0.002388,-0.000235,0.000000,-0.096000,0.432000,-0.372000,0.000000,0.000000,-0.013091,-0.006330,-0.003111,-9.999846,-5.237158,5.999640,1.390330
0.7400,0.198072,-0.000250,0.479417,0.999995,0.002237,0.000042,0.000000,-0.107000,0.444000,-0.374000,0.000000,0.000000,-0.012528,-0.006751,-0.002242,-9.999828,-7.999992,6.000045,1.392749
0.7600,0.198067,-0.000197,0.479658,0.999997,0.001232,0.000044,0.000000,-0.118000,0.456000,-0.376000,0.000000,0.000000,-0.014101,-0.008387,-0.001686,-9.999878,-0.087121,0.120104,1.395363
0.7800,0.198066,-0.000160,0.479781,0.999997,0.000597,0.000025,0.000000,-0.129000,0.468000,-0.378000,0.000000,0.000000,-0.014070,-0.009152,-0.000838,-9.999877,0.000130,0.010790,1.398158
0.8000,0.198015,-0.000094,0.479812,0.999998,-0.000120,-0.000086,0.000000,-0.140000,0.480000,-0.380000,0.000000,0.000000,-0.012723,-0.008991,0.000012,-9.999834,-3.294601,6.000291,1.401135
0.8200,0.197434,0.000292,0.479525,0.999994,-0.003171,-0.000931,0.000000,-0.151000,0.492000,-0.382000,0.000000,0.000000,-0.014693,-0.011265,0.000931,-9.999899,8.000135,-0.947682,1.404259
0.8400,0.197061,0.000641,0.479487,0.999987,-0.004976,-0.000735,0.000000,-0.162000,0.504000,-0.384000,0.000000,0.000000,-0.015065,-0.012440,0.001875,-9.999914,0.451370,-4.843791,1.407598
0.8600,0.196967,0.000632,0.479620,0.999994,-0.003559,-0.000456,0.000000,-0.173000,0.516000,-0.386000,0.000000,0.000000,-0.014300,-0.012606,0.002640,-9.999887,-2.598151,-4.375865,1.411120
0.8800,0.196968,0.000539,0.479751,0.999998,-0.001877,-0.000239,0.000000,-0.184000,0.528000,-0.388000,0.000000,0.000000,-0.013753,-0.012885,0.003368,-9.999869,-0.233500,-0.033320,1.414822
0.9000,0.196974,0.000482,0.479823,1.000000,-0.000917,-0.000117,0.000000,-0.195000,0.540000,-0.390000,0.000000,0.000000,-0.013807,-0.013702,0.004218,-9.999871,-0.149112,0.001324,1.418708
0.9200,0.196820,0.000152,0.479841,0.999998,0.002113,-0.000268,0.000000,-0.206000,0.552000,-0.392000,0.000000,0.000000,-0.013669,-0.014314,0.005012,-9.999867,0.800254,0.233278,1.422711
0.9400,0.196453,-0.000301,0.479685,0.999990,0.004172,-0.000528,0.000000,-0.217000,0.564000,-0.394000,0.000000,0.000000,-0.013685,-0.015096,0.005876,-9.999868,1.092847,1.172769,1.426846
0.9600,0.196242,-0.000379,0.479624,0.999993,0.003377,-0.000518,0.000000,-0.228000,0.576000,-0.396000,0.000000,0.000000,-0.013408,-0.015553,0.006585,-9.999860,0.926409,4.150975,1.431229
0.9800,0.196073,-0.000423,0.479634,0.999993,0.002856,-0.000479,0.000000,-0.239000,0.588000,-0.398000,0.000000,0.000000,-0.012405,-0.015095,0.006857,-9.999828,3.430067,5.999946,1.435793
1.0000,0.195824,-0.000344,0.479585,0.999996,0.001570,-0.000693,0.000000,-0.250000,0.600000,-0.400000,0.000000,0.000000,-0.012492,-0.015929,0.007684,-9.999831,3.032520,5.999828,1.440544
1.0200,0.195590,-0.000273,0.479553,0.999997,0.000740,-0.000712,0.000000,-0.261000,0.612000,-0.402000,0.000000,0.000000,-0.013328,-0.017769,0.009027,-9.999859,-0.651382,4.880801,1.445466
1.0400,0.195539,-0.000261,0.479660,0.999997,0.000484,-0.000451,0.000000,-0.272000,0.624000,-0.404000,0.000000,0.000000,-0.013771,-0.019138,0.010165,-9.999873,-0.271970,0.212544,1.450558
1.0600,0.195545,-0.000247,0.479767,0.999997,0.000249,-0.000235,0.000000,-0.283000,0.636000,-0.406000,0.000000,0.000000,-0.013773,-0.019915,0.011003,-9.999873,-0.331308,0.029726,1.455824
1.0800,0.195374,-0.000141,0.479725,0.999997,-0.000494,-0.000512,0.000000,-0.294000,0.648000,-0.408000,0.000000,0.000000,-0.014016,-0.021085,0.012074,-9.999882,0.795213,-1.201724,1.461265
1.1000,0.195089,0.000005,0.479608,0.999997,-0.001148,-0.000793,0.000000,-0.305000,0.660000,-0.410000,0.000000,0.000000,-0.014198,-0.022201,0.013131,-9.999888,2.987160,-3.173017,1.466875
