t_sim,q1,q2,q3,q4,q5,q6,q7,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,q7_ref,tau1,tau2,tau3,tau4,tau5,tau6,tau7,gripper_cmd,tracking_error,ee_x,ee_y,ee_z
0.1550,-0.000331,0.336809,0.002244,-1.624160,-0.021779,2.025594,-0.847950,0.001707,0.293600,0.008943,-1.628958,-0.027069,2.047893,-0.869807,0.001707,0.293600,0.008943,-1.628958,-0.027069,2.047893,-0.869807,0.0400,0.054240,0.6703,-0.0020,0.3312
0.1600,-0.000353,0.337216,0.002549,-1.627346,-0.023837,2.029431,-0.854346,0.001854,0.293049,0.009713,-1.633964,-0.029399,2.052015,-0.877081,0.001854,0.293049,0.009713,-1.633964,-0.029399,2.052015,-0.877081,0.0400,0.055755,0.6702,-0.0021,0.3297
0.1650,-0.000373,0.337516,0.002880,-1.630655,-0.026003,2.033468,-0.861074,0.002008,0.292473,0.010517,-1.639196,-0.031834,2.056322,-0.884681,0.002008,0.292473,0.010517,-1.639196,-0.031834,2.056322,-0.884681,0.0400,0.057266,0.6702,-0.0022,0.3283
0.1700,-0.000389,0.337710,0.003238,-1.634091,-0.028275,2.037701,-0.868132,0.002168,0.291873,0.011356,-1.644651,-0.034372,2.060814,-0.892607,0.002168,0.291873,0.011356,-1.644651,-0.034372,2.060814,-0.892607,0.0400,0.058783,0.6701,-0.0023,0.3269
0.1750,-0.000401,0.337800,0.003623,-1.637660,-0.030652,2.042122,-0.875520,0.002334,0.291248,0.012229,-1.650329,-0.037015,2.065489,-0.900857,0.002334,0.291248,0.012229,-1.650329,-0.037015,2.065489,-0.900857,0.0400,0.060312,0.6700,-0.0024,0.3255
0.1800,-0.000410,0.337787,0.004038,-1.641365,-0.033131,2.046729,-0.883237,0.002507,0.290599,0.013135,-1.656228,-0.039760,2.070346,-0.909426,0.002507,0.290599,0.013135,-1.656228,-0.039760,2.070346,-0.909426,0.0400,0.061858,0.6699,-0.0025,0.3242
0.1850,-0.000413,0.337673,0.004482,-1.645213,-0.035712,2.051516,-0.891281,0.002687,0.289926,0.014076,-1.662344,-0.042606,2.075382,-0.918312,0.002687,0.289926,0.014076,-1.662344,-0.042606,2.075382,-0.918312,0.0400,0.063425,0.6698,-0.0026,0.3229
0.1900,-0.000411,0.337463,0.004956,-1.649208,-0.038393,2.056482,-0.899650,0.002873,0.289229,0.015049,-1.668677,-0.045553,2.080596,-0.927512,0.002873,0.289229,0.015049,-1.668677,-0.045553,2.080596,-0.927512,0.0400,0.065017,0.6697,-0.0026,0.3216
0.1950,-0.000403,0.337158,0.005462,-1.653355,-0.041172,2.061623,-0.908342,0.003065,0.288509,0.016056,-1.675222,-0.048599,2.085985,-0.937021,0.003065,0.288509,0.016056,-1.675222,-0.048599,2.085985,-0.937021,0.0400,0.066636,0.6696,-0.0027,0.3203
0.2000,-0.000389,0.336764,0.005999,-1.657657,-0.044048,2.066936,-0.917354,0.003263,0.287766,0.017094,-1.681976,-0.051742,2.091546,-0.946833,0.003263,0.287766,0.017094,-1.681976,-0.051742,2.091546,-0.946833,0.0400,0.068282,0.6695,-0.0027,0.3190
